PNA;NAZWA INSTYTUCJI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
00-993;Agencja Bezpieczeñstwa Wewnêtrznego;Warszawa (Mokotów);Rakowiecka;2;Warszawa;Warszawa;mazowieckie
30-100;BROKER FM S.A.;Kraków (Kraków-Krowodrza);Waszyngtona Jerzego Al.;1;Kraków;Kraków;ma³opolskie
00-980;Centrala Zak³adu Ubezpieczeñ Spo³ecznych w Warszawie;Warszawa (Mokotów);Czerniakowska;16;Warszawa;Warszawa;mazowieckie
31-825;CZK PP SA;Kraków (Kraków-Nowa Huta);Z³otej Jesieni Os.;7;Kraków;Kraków;ma³opolskie
40-273;ENERGOAPARATURA S.A.;Katowice;Pu³askiego Kazimierza (Genera³a Kazimierza Pu³askiego);7;Katowice;Katowice;œl¹skie
00-992;Fabryka Samochodów Osobowych S.A.;Warszawa (Praga-Pó³noc);Jagielloñska;88;Warszawa;Warszawa;mazowieckie
60-919;Klasztor o.o. Dominikanów w Poznaniu;Poznañ (Poznañ-Stare Miasto);Koœciuszki Tadeusza;99;Poznañ;Poznañ;wielkopolskie
20-914;Lubelski Urz¹d Wojewódzki;Lublin;Spokojna;4;Lublin;Lublin;lubelskie
00-939;Media Express Sp. z o.o.;Warszawa (Praga-Po³udnie);Jubilerska;10;Warszawa;Warszawa;mazowieckie
00-983;Miasto Sto³eczne Warszawa Dzielnica Targówek;Warszawa (Targówek);Kondratowicza Ludwika;20;Warszawa;Warszawa;mazowieckie
00-928;Ministerstwo Infrastruktury;Warszawa (Œródmieœcie);Cha³ubiñskiego Tytusa;4/6;Warszawa;Warszawa;mazowieckie
00-919;Narodowy Bank Polski Centrala;Warszawa (Œródmieœcie);Œwiêtokrzyska;11/21;Warszawa;Warszawa;mazowieckie
20-950;Per³a-Browary Lubelskie S.A.;Lublin;Bernardyñska;15;Lublin;Lublin;lubelskie
40-980;PKO BP SA CRB Biuro w Katowicach;Katowice;Damrota Konstantego (Ksiêdza Konstantego Damrota);23;Katowice;Katowice;œl¹skie
30-942;PKO BP SA I Oddzia³ Kraków;Kraków (Kraków-Œródmieœcie);Wielopole;19-21;Kraków;Kraków;ma³opolskie
00-944;PKO BP SA Oddzia³  I w Warszawie;Warszawa (Œródmieœcie);Sienkiewicza Henryka;12;Warszawa;Warszawa;mazowieckie
50-901;PKO BP SA Oddzia³  I we Wroc³awiu;Wroc³aw (Wroc³aw-Stare Miasto);Stwosza Wita;33/35;Wroc³aw;Wroc³aw;dolnoœl¹skie
90-924;Politechnika £ódzka;£ódŸ (£ódŸ-Polesie);¯eromskiego Stefana;116;£ódŸ;£ódŸ;³ódzkie
00-977;Polskie Radio S.A.;Warszawa (Mokotów);Niepodleg³oœci Al.;77/85;Warszawa;Warszawa;mazowieckie
60-914;Powszechna Kasa Oszczêdnoœci Bank Polski Oddzia³ I w Poznaniu;Poznañ (Poznañ-Stare Miasto);Wolnoœci Pl.;3;Poznañ;Poznañ;wielkopolskie
00-933;"Redakcja ""Tele Tydzieñ""";Warszawa (Praga-Po³udnie);Motorowa;1;Warszawa;Warszawa;mazowieckie
00-929;"Redakcja ""Twoje Imperium""";Warszawa (Praga-Po³udnie);Motorowa;1;Warszawa;Warszawa;mazowieckie
90-921;S¹d Okrêgowy w £odzi;£ódŸ (£ódŸ-Górna);D¹browskiego Pl.;5;£ódŸ;£ódŸ;³ódzkie
90-928;S¹d Rejonowy w £odzi;£ódŸ (£ódŸ-Œródmieœcie);Koœciuszki Tadeusza Al.;107/109;£ódŸ;£ódŸ;³ódzkie
00-937;Spó³dzielnia Rozrywka;Warszawa (Œródmieœcie);Wilcza;50/52;Warszawa;Warszawa;mazowieckie
00-931;"Spó³dzielnia Wydawnicza ""Tele Magazyn""";Warszawa (Wola);Dzika;20;Warszawa;Warszawa;mazowieckie
00-988;Œwiat Ksi¹¿ki Sp. z o.o.;Warszawa (Ursynów);Roso³a Jana;10;Warszawa;Warszawa;mazowieckie
00-945;Telekomunikacja Polska S.A;Warszawa (Œródmieœcie);Œwiêtokrzyska;3;Warszawa;Warszawa;mazowieckie
15-425;Telekomunikacja Polska S.A.;Bia³ystok;Cieszyñska;3a;Bia³ystok;Bia³ystok;podlaskie
60-941;Telekomunikacja Polska S.A.;Poznañ (Poznañ-Stare Miasto);Koœciuszki Tadeusza;77;Poznañ;Poznañ;wielkopolskie
00-999;Telewizja Polska S.A.;Warszawa (Mokotów);Woronicza Jana Paw³a;17;Warszawa;Warszawa;mazowieckie
45-899;TP S.A. Obszar Relacji z Klientami;Opole;Sosnkowskiego Kazimierza (Genera³a Kazimierza Sosnkowskiego);20;Opole;Opole;opolskie
90-926;Urz¹d Miasta £odzi;£ódŸ (£ódŸ-Œródmieœcie);Piotrkowska;104;£ódŸ;£ódŸ;³ódzkie
70-456;Urz¹d Miasta Szczecin;Szczecin;Armii Krajowej Pl.;1;Szczecin;Szczecin;zachodniopomorskie
60-918;Wielkopolska Korporacja Techniczna (WKT) - NOT;Poznañ (Poznañ-Stare Miasto);Wieniawskiego Henryka;5/9;Poznañ;Poznañ;wielkopolskie
60-920;"Wydawnictwo Polskiej Prowincji Dominikanów ""W Drodze""";Poznañ (Poznañ-Stare Miasto);Koœciuszki Tadeusza;99;Poznañ;Poznañ;wielkopolskie
70-502;Zachodniopomorski Urz¹d Wojewódzki w Szczecinie;Szczecin;Wa³y Chrobrego;4;Szczecin;Szczecin;zachodniopomorskie
60-908;Zak³ad Ubezpieczeñ Spo³ecznych I oddzia³;Poznañ (Poznañ-Je¿yce);D¹browskiego Jana Henryka;12;Poznañ;Poznañ;wielkopolskie
90-930;Zak³ad Ubezpieczeñ Spo³ecznych I Oddzia³ w £odzi;£ódŸ (£ódŸ-Œródmieœcie);Zamenhofa Ludwika;2;£ódŸ;£ódŸ;³ódzkie
00-917;Zak³ad Ubezpieczeñ Spo³ecznych I Oddzia³ w Warszawie;Warszawa (Œródmieœcie);Senatorska;6/8;Warszawa;Warszawa;mazowieckie
00-982;Zak³ad Ubezpieczeñ Spo³ecznych III Oddzia³ w Warszawie;Warszawa (Mokotów);Czerniakowska;16;Warszawa;Warszawa;mazowieckie
15-951;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Bia³ymstoku;Bia³ystok;M³ynowa;29;Bia³ystok;Bia³ystok;podlaskie
43-350;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Bielsku-Bia³ej;Bielsko-Bia³a;Krasiñskiego Zygmunta;34;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
41-530;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Chorzowie, Inspektorat w Katowicach;Chorzów;D¹browskiego Henryka (Genera³a Henryka D¹browskiego);45;Chorzów;Chorzów;œl¹skie
42-294;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Czêstochowie;Czêstochowa;D¹browskiego Jana Henryka (Genera³a Jana Henryka D¹browskiego);43/45;Czêstochowa;Czêstochowa;œl¹skie
80-980;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Gdañsku;Gdañsk;Chmielna;27/23;Gdañsk;Gdañsk;pomorskie
81-980;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Gdañsku, Inspektorat w Gdyni;Gdynia;W³adys³awa IV;24;Gdynia;Gdynia;pomorskie
