PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
21-143;UP Abramów;Abramów;22 Lipca;2;Abramów;lubartowski;lubelskie
21-412;UP Adamów;Adamów;Kleeberga Franciszka (Genera³a Franciszka Kleeberga);3 A;Adamów;³ukowski;lubelskie
22-442;UP Adamów;Adamów;;10 B;Adamów;zamojski;lubelskie
37-534;UP Adamówka;Adamówka;;97;Adamówka;przeworski;podkarpackie
37-100;AP Albigowa;Albigowa;;477;£añcut;³añcucki;podkarpackie
62-875;AP Aleksandria;Aleksandria;;112;Brzeziny;kaliski;wielkopolskie
23-408;UP Aleksandrów;Aleksandrów (Aleksandrów Drugi);;380;Aleksandrów;bi³gorajski;lubelskie
26-337;UP Aleksandrów k. Opoczna;Aleksandrów;;39 C;Aleksandrów;piotrkowski;³ódzkie
87-700;UP Aleksandrów Kujawski 1;Aleksandrów Kujawski (Aleksandrówek);Dworcowa;1;Aleksandrów Kujawski;aleksandrowski;kujawsko-pomorskie
87-706;FUP Aleksandrów Kujawski 1;Sêdzin;; ;Zakrzewo;aleksandrowski;kujawsko-pomorskie
87-707;FUP Aleksandrów Kujawski 1;Zakrzewo;;2;Zakrzewo;aleksandrowski;kujawsko-pomorskie
87-712;UP Aleksandrów Kujawski 4;Aleksandrów Kujawski (Aleksandrówek);Szkolna;13;Aleksandrów Kujawski;aleksandrowski;kujawsko-pomorskie
95-072;AP Aleksandrów £ódzki;Aleksandrów £ódzki;Pi³sudskiego Józefa;2/4;Aleksandrów £ódzki;zgierski;³ódzkie
95-070;UP Aleksandrów £ódzki 1;Aleksandrów £ódzki;Wojska Polskiego;69;Aleksandrów £ódzki;zgierski;³ódzkie
95-069;FUP Aleksandrów £ódzki 1;Aleksandrów £ódzki;Warszawska;3;Aleksandrów £ódzki;zgierski;³ódzkie
95-071;FUP Aleksandrów £ódzki 1;R¹bieñ;Pañska;14;Aleksandrów £ódzki;zgierski;³ódzkie
32-566;UP Alwernia;Alwernia;Gêsikowskiego Zbigniewa;7;Alwernia;chrzanowski;ma³opolskie
32-551;FUP Alwernia;Babice;Krakowska;47;Babice;chrzanowski;ma³opolskie
06-212;AP Amelin;Amelin;;9;Krasnosielc;makowski;mazowieckie
95-020;UP Andrespol;Andrespol;Rokiciñska;126;Andrespol;³ódzki wschodni;³ódzkie
95-006;FUP Andrespol;Brójce;;39;Brójce;³ódzki wschodni;³ódzkie
34-120;UP Andrychów;Andrychów;Krakowska;100;Andrychów;wadowicki;ma³opolskie
34-120;FUP Andrychów;Andrychów;Lenartowicza Stanis³awa;36 b;Andrychów;wadowicki;ma³opolskie
34-120;AP Andrychów;Andrychów;Krakowska;95;Andrychów;wadowicki;ma³opolskie
17-100;AP Andryjanki;Andryjanki;;93;Boæki;bielski;podlaskie
07-305;UP Andrzejewo k. Czy¿ewa;Andrzejewo;Wysocka;1 A;Andrzejewo;ostrowski;mazowieckie
